retire_id,name,canonical_id,canonical_name,distance,items_to_repoint,canonical_items,canonical_in_ss_feed,confidence
1110,Negr,4133,BLGR,2,1,6,no,review
1110,Negr,2042,Dgr,2,1,8,no,review
1110,Negr,1279,Htgr,2,1,5,no,review
1110,Negr,3084,Neyl,2,1,3,no,review
1110,Negr,5991,Ngrn,2,1,2,no,review
3435,Oh,498,Ash,2,1,62,yes,review
3435,Oh,2607,Db,2,1,4,no,review
3435,Oh,3028,Ec,2,1,1,no,review
3435,Oh,2339,Ga,2,1,1,no,review
3435,Oh,3403,Gc,2,1,9,no,review
3435,Oh,3404,Gch,2,1,5,no,review
3435,Oh,505,Gph,2,1,10,no,review
3435,Oh,1146,Ig,2,1,1,no,review
3435,Oh,1034,In,2,1,3,no,review
3435,Oh,489,Ke,2,1,1,no,review
3435,Oh,1290,Kh,1,1,4,no,review
3435,Oh,2155,Mr,2,1,1,no,review
3435,Oh,3772,Oy,1,1,8,no,review
3435,Oh,2885,SGH,2,1,3,no,review
3435,Oh,3455,Trh,2,1,3,no,review
3435,Oh,3124,Vh,1,1,2,no,review
2189,Peach,4297,PARCH,2,1,4,no,review
2668,Pewter,1323,Pepper,2,1,32,yes,review
2668,Pewter,3310,Pwtr,2,1,2,no,review
2447,Pfgf,2446,Pf/Gf,1,1,3,no,review
4547,Pi/White,6381,Cp/White,2,1,5,no,review
4303,RD,3,Crb,2,1,1,no,review
4303,RD,2607,Db,2,1,4,no,review
4303,RD,4182,ENRD,2,1,5,no,review
4303,RD,3028,Ec,2,1,1,no,review
4303,RD,2339,Ga,2,1,1,no,review
4303,RD,3403,Gc,2,1,9,no,review
4303,RD,2096,Hdt,2,1,3,no,review
4303,RD,1146,Ig,2,1,1,no,review
4303,RD,1034,In,2,1,3,no,review
4303,RD,489,Ke,2,1,1,no,review
4303,RD,1290,Kh,2,1,4,no,review
4303,RD,2155,Mr,2,1,1,no,review
4303,RD,3435,Oh,2,1,1,no,review
4303,RD,3772,Oy,2,1,8,no,review
4303,RD,3455,Trh,2,1,3,no,review
4303,RD,3124,Vh,2,1,2,no,review
3323,Ro/Hg,4313,RO/ST,2,1,2,no,review
3323,Ro/Hg,3315,Rd/Hg,1,1,1,no,review
4040,Rwb,3,Crb,2,1,1,no,review
4040,Rwb,2607,Db,2,1,4,no,review
4040,Rwb,2371,Hlb,2,1,2,no,review
4040,Rwb,5974,Ltb,2,1,1,no,review
4040,Rwb,4303,RD,2,1,1,no,review
