Internal ID,Name,Abbreviation
3403,Gc,Gc
3404,Gch,Gch
3248,Gcon,Gcon
7459,Geranium Heather,GeraniumHeather
4189,Glow Blue,Glow Blue
522,Gold,Gold
5327,Gold/Navy,Gold/Navy
1830,Gold/Royal,Gd/Ro
636,Gold/White,Gold/White
4525,Gp/Red,Gp/Red
4717,Gp/White/Gp,Gp/White/Gp
505,Gph,Gph
488,Graphite,Graphite
7490,Graphite Black,Graphite Black
2087,Graphite Heather,GraphiteHeather
3410,Graphite Heather,Gphtr
7511,Graphite/ Neon Green/Graphite,Gra/NeGrn/Gra
598,Graphite/Black,Gp/Bk
7557,Graphite/Neon Yellow/Graphite,Graphite/NeYe
1143,Gravel,Gravel
3043,Grcon,Grcon
765,Green,Green
2345,Green Frost,Green Frost
7606,Green Oxide Melange,Green Ox Melang
5950,Green/White,Green/White
959,Grey,Gry
523,Grey,Grey
2354,Grey Frost,Grey Frost
524,Grey Heather,Grey Heather
2356,Grey Heather,GRH
525,Grey Heather,Grht
4199,GREY SMOKE,GREY SMOKE
7498,Grey Smoke Heather,GreySmokeHeathe
2349,Grey Steel/Bone,Grey Steel/Bone
7233,Grey Three,Grey Three
7455,Grey Three Melange,Grey 3 Melange
1030,Grey Triblend,Grtri
7481,Grey Triblend,Grey Triblend
7556,Grey-Black Electric,Grey-Black Elec
887,Grey/Black,Gr/Bk
637,Grey/Black,Grey/Black
3037,Grey/Black Buffalo Check,GR/BKBuffalo
6409,Grey/Charcoal/Black,Gry/Char/Blk
807,Grey/Grey,Gr/Gr
889,Grey/Navy,Gr/Na
582,Grey/Navy,Grey/Na
891,Grey/Red,Gr/Rd
638,Grey/Royal,Grey/Royal
1243,Grey/Royal,Gr/Ro
7242,Grey/Sn/White,Grey/Sn/White
639,Grey/White,Grey/White
796,Grey/White,Gr/Wh
6788,Grey/White/Black,Gry/Wht/Blk
7616,Grid Iron Silver,GridIron Silver
4201,GRSTHE,GRSTHE
526,Grth,Grth
3717,Grvl,Grvl
2635,Gsygr,Gsygr
4190,Gunmetal,Gunmetal
3521,Gusty Grey,Gusty Grey
2091,Habl,Habl
4204,Halo Gray,Halo Gray
