style,color_name,size,upc_to_write,netsuite_item_id,match_method
562M,Vintage Heather Blue,2X-Large,00885306256494,40791,option:heur
562M,Vintage Heather Blue,3X-Large,00885306256500,40792,option:heur
562M,Vintage Heather Blue,4X-Large,00885306256609,40793,option:heur
562M,Vintage Heather Blue,Large,00885306256470,40789,option:heur
562M,Athletic Heather,Medium,00885306256302,38848,option:name
562M,Vintage Heather Blue,Medium,00885306256463,40788,option:heur
562M,Athletic Heather,X-Large,00885306256326,38849,option:name
562M,Vintage Heather Blue,X-Large,00885306256487,40790,option:heur
562M,Vintage Heather Blue,Small,00885306256456,40787,option:heur
562M,Scuba Blue,2X-Large,00885306340704,101344,option:heur
562M,Scuba Blue,3X-Large,00885306340711,101343,option:heur
562M,Scuba Blue,4X-Large,00885306340650,101342,option:heur
562M,Scuba Blue,Large,00885306340551,101346,option:heur
562M,Scuba Blue,Medium,00885306340544,101347,option:heur
562M,Scuba Blue,Small,00885306340537,101348,option:heur
562M,Scuba Blue,X-Large,00885306340568,101345,option:heur
562B,Ash,Small,00042463190676,25220,option:name
562B,Ash,Medium,00042463160723,25221,option:name
562B,Ash,Large,00042463980437,25222,option:name
562B,Ash,X-Large,00042463363605,25223,option:name
4528M,Ash,Small,00042463533961,182913,mainframe
4528M,Ash,Medium,00042463251773,182912,mainframe
4528M,Ash,Large,00042463872596,182917,mainframe
4528M,Ash,X-Large,00042463410422,182916,mainframe
4528M,Black,Small,00042463009008,182918,mainframe
4528M,Black,Medium,00042463009015,182911,mainframe
4528M,Black,Large,00042463009022,182910,mainframe
4528M,Black,X-Large,00042463009039,182909,mainframe
4528M,Ash,2X-Large,00042463433131,182915,mainframe
4528M,Black,2X-Large,00042463009046,182908,mainframe
4528M,Ash,3X-Large,00042463331499,182914,mainframe
4528M,Black,3X-Large,00042463303519,182907,mainframe
973M,Black,Small,00042463009497,35850,option:name
973M,Black,Medium,00042463009503,35851,option:name
973M,Black,Large,00042463009510,35852,option:name
973M,Black,X-Large,00042463009527,35853,option:name
973M,Black,2X-Large,00042463009534,35854,option:name
973M,Oxford,Small,00042463985845,41640,option:name
973M,Oxford,Medium,00042463746620,41641,option:name
973M,Oxford,Large,00042463861989,41642,option:name
973M,Oxford,X-Large,00042463648375,41643,option:name
973M,Oxford,2X-Large,00042463937509,41644,option:name
973M,Ash,2X-Large,00042463557592,35849,option:name
973M,Ash,Large,00042463064441,35847,option:name
973M,Ash,Medium,00042463064458,35846,option:name
973M,Ash,Small,00042463064465,35845,option:name
973M,Ash,X-Large,00042463064472,35848,option:name
S600T,Black,Small,00191265201551,73719,option:name
S600T,Black,Medium,00191265201568,73720,option:name
S600T,Black,Large,00191265201599,73721,option:name
S600T,Black,X-Large,00191265201612,73722,option:name
S600T,Black,2X-Large,00191265201520,73723,option:name
S600T,Black,3X-Large,00191265201544,73724,option:name
S600T,Black,4X-Large,00191265201575,73725,option:name
S600T,Black,5X-Large,00191265201582,73726,option:name
996Y,Ash,Small,00042463332724,36128,option:name
996Y,Ash,Medium,00042463560097,36129,option:name
996Y,Ash,Large,00042463157778,36130,option:name
996Y,Ash,X-Large,00042463327942,36131,option:name
996Y,Black,Small,00042463009619,36132,option:name
996Y,Black,Medium,00042463009626,36133,option:name
996Y,Black,Large,00042463009633,36134,option:name
996Y,Black,X-Large,00042463328048,36135,option:name
996Y,Oxford,Small,00042463017744,41657,option:name
996Y,Oxford,Medium,00042463017751,41658,option:name
996Y,Oxford,Large,00042463017768,41659,option:name
996Y,Oxford,X-Large,00042463328147,41660,option:name
996Y,White,Large,00042463177295,36155,option:name
996Y,Maroon,Large,00042463328116,36136,option:name
996Y,Royal,Large,00885306019488,36148,option:name
996Y,Black Heather,Large,00885306249182,41345,option:name
996Y,Athletic Heather,Medium,00885306249137,41298,option:name
29B,White,Small,00042463140398,180107,mainframe
29B,White,X-Large,00042463349555,180100,mainframe
29B,Ash,X-Small,00042463641178,180029,mainframe
29B,Ash,Small,00042463140374,180030,mainframe
29B,Ash,Medium,00042463486328,180026,mainframe
29B,Ash,Large,00042463426072,180120,mainframe
29B,Ash,X-Large,00042463143634,180119,mainframe
29B,Black,X-Small,00042463008506,180089,mainframe
29B,Black,Small,00042463008476,180090,mainframe
29B,Black,Medium,00042463008483,180087,mainframe
29B,Black,Large,00042463008490,180085,mainframe
29B,Gold,X-Small,00042463503421,180049,mainframe
29B,Gold,Small,00042463583386,180050,mainframe
29B,Gold,Medium,00042463447237,180046,mainframe
29B,Gold,Large,00042463995844,180043,mainframe
29B,Gold,X-Large,00042463145997,180041,mainframe
29B,Maroon,Medium,00042463388271,180096,mainframe
29B,Maroon,Large,00042463147137,180095,mainframe
29B,Maroon,X-Large,00042463387205,180094,mainframe
29B,Columbia Blue,X-Small,00885306018122,180140,mainframe
29B,Columbia Blue,Small,00885306018139,180141,mainframe
29B,Columbia Blue,Medium,00885306018146,180139,mainframe
29B,Columbia Blue,Large,00885306018153,180138,mainframe
29B,Columbia Blue,X-Large,00885306018160,180137,mainframe
S500T,Black,Small,00191265197656,73605,option:name
S500T,Black,Medium,00191265197670,73606,option:name
S500T,Black,Large,00191265197687,73607,option:name
S500T,Black,X-Large,00191265197694,73608,option:name
S500T,Black,2X-Large,00191265197632,73609,option:name
993M,Ash,Small,00042463064809,35888,option:name
993M,Ash,Medium,00042463064793,35889,option:name
993M,Ash,Large,00042463064786,35890,option:name
993M,Ash,X-Large,00042463064816,35891,option:name
993M,Black,Small,00042463010981,35894,option:name
993M,Black,Medium,00042463010998,35895,option:name
993M,Black,Large,00042463011001,35896,option:name
993M,Black,X-Large,00042463011018,35897,option:name
993M,Ash,2X-Large,00042463621187,35892,option:name
993M,Black,2X-Large,00042463011025,35898,option:name
993M,Ash,3X-Large,00042463003976,35893,option:name
993M,Black,3X-Large,00042463011032,35899,option:name
993M,Oxford,Small,00042463638239,41645,option:name
993M,Oxford,Medium,00042463720200,41646,option:name
993M,Oxford,Large,00042463971459,41647,option:name
993M,Oxford,X-Large,00042463834051,41648,option:name
993M,Oxford,2X-Large,00042463642564,41649,option:name
993M,Oxford,3X-Large,00042463004010,41650,option:name
993M,Maroon,Small,00042463639281,35913,option:name
993M,Maroon,Medium,00042463668984,35914,option:name
993M,Maroon,Large,00042463512423,35915,option:name
993M,Maroon,X-Large,00042463892389,35916,option:name
993M,Maroon,2X-Large,00042463768714,35917,option:name
993M,Maroon,3X-Large,00042463004003,35918,option:name
993M,Royal,Small,00885306018788,35933,option:name
